gene_id,gene_name,logFC,AveExpr,t,P.Value,FDR,DE
ENSRNOG00000047551,Pnpla2,-7.39184764887098,0.12967203638721356,-12.87496320287731,6.919810586316282e-7,0.006038921176718196,TRUE
ENSRNOG00000050004,LOC100909761,6.257005205636673,-1.4167077480259354,12.436323709012484,9.177691757930388e-7,0.006038921176718196,TRUE
ENSRNOG00000060849,Rcor2,-5.33729633417177,-1.30314428317846,-8.701419560530283,1.5768406297576694e-5,0.0486336863673953,TRUE
ENSRNOG00000002802,Cxcl1,4.530579684823502,1.9017391766294152,8.655504056829374,1.6428406212344516e-5,0.0486336863673953,TRUE
ENSRNOG00000032626,Mmp3,3.304846013861758,4.589197771567252,8.41285737635809,2.046440808873716e-5,0.0486336863673953,TRUE
ENSRNOG00000032832,Mmp10,3.3058508476248547,2.1642693235074963,8.281867844391579,2.3090280340474526e-5,0.0486336863673953,TRUE
ENSRNOG00000010278,Il6,4.470051993424997,0.15177197563756328,8.160070912031104,2.5868982110316646e-5,0.0486336863673953,TRUE
ENSRNOG00000022839,Ifit3,2.9701469502195024,6.302622549390531,7.848137708456026,3.482470669349151e-5,0.05728664251079354,FALSE
ENSRNOG00000062228,LOC100359515,4.561557519895647,0.8863074098064636,7.588908265249225,4.490263070176633e-5,0.06565762444836054,FALSE
ENSRNOG00000015992,Ccl20,3.947963085936419,0.12330122908301684,7.479839292741381,5.007090237900088e-5,0.06589330753076517,FALSE
ENSRNOG00000000239,Ccl7,2.4276484292246647,2.899349542430639,7.274654817232762,6.166445760527407e-5,0.07377311473503696,FALSE
ENSRNOG00000010797,Esm1,-2.4836984748836985,3.42646048436613,-7.113178963721045,7.287441484293943e-5,0.07991894161109024,FALSE
ENSRNOG00000045989,Hba-a3,-2.3275856654956653,5.924632938994567,-6.910527149187886,9.023161411030846e-5,0.09134215705320456,FALSE
ENSRNOG00000016812,Adamts16,3.119288828999549,0.7834777642128247,6.411623794849939,1.5575888300869756e-4,0.12088560573695611,FALSE
ENSRNOG00000024705,Rarres2,2.366811498852404,4.590680907073032,6.366765121428513,1.6383223903519763e-4,0.12088560573695611,FALSE
ENSRNOG00000013967,Blnk,-1.5952738062700482,5.286508244109447,-6.360130215467647,1.6506479655236037e-4,0.12088560573695611,FALSE
ENSRNOG00000018566,Ctsl,1.8787544370038771,8.55382755100938,6.352709971028233,1.6645529475423855e-4,0.12088560573695611,FALSE
ENSRNOG00000008707,Epx,-1.8446078584376153,7.445869384178344,-6.327118000812501,1.7135039748578717e-4,0.12088560573695611,FALSE
ENSRNOG00000009822,Tlr2,1.5662474114997644,5.920013262345243,6.143805334474161,2.113870843980538e-4,0.12088560573695611,FALSE
ENSRNOG00000028975,LOC102548682,-2.4056275284273023,7.261851922743884,-6.1125988701736995,2.1917201419250062e-4,0.12088560573695611,FALSE
ENSRNOG00000053081,LOC684762,-2.4056275284273023,7.261851922743884,-6.1125988701736995,2.1917201419250062e-4,0.12088560573695611,FALSE
ENSRNOG00000011500,Pou2af1,-1.7789908647608232,5.104317387676548,-6.105145719703238,2.2107737619288988e-4,0.12088560573695611,FALSE
ENSRNOG00000048321,Tnfsf8,1.850814523247218,2.526578990328651,6.059466932092847,2.331582076237469e-4,0.12088560573695611,FALSE
ENSRNOG00000000906,Medag,2.3139691186817704,3.067560854331098,5.981829128387382,2.553815672611148e-4,0.12088560573695611,FALSE
ENSRNOG00000002525,Ptgs2,2.389800182193253,5.54135943904839,5.962623096430754,2.61229791806097e-4,0.12088560573695611,FALSE
ENSRNOG00000050006,Agtr2,3.5650642361058775,-0.03762529280397853,5.929392545304887,2.7169723540246125e-4,0.12088560573695611,FALSE
ENSRNOG00000013615,Dntt,-1.5213315897246813,5.064318843104731,-5.87191515582616,2.9090083658696016e-4,0.12088560573695611,FALSE
ENSRNOG00000004649,Il1b,3.274223238924664,5.982749376512032,6.360958500986471,2.934306964163839e-4,0.12088560573695611,FALSE
ENSRNOG00000007545,Angptl4,1.7393880563899613,3.859313423703504,5.862862200546949,2.9405842921897545e-4,0.12088560573695611,FALSE
ENSRNOG00000003201,Rps4x,-2.454453975457715,8.356022458345493,-5.849452673739195,2.9880455930249907e-4,0.12088560573695611,FALSE
ENSRNOG00000010079,Car3,-1.5354425475815903,7.421806188608959,-5.80950354760231,3.1344693162298193e-4,0.12088560573695611,FALSE
ENSRNOG00000052925,NEWGENE_621351,-3.2957830776036987,10.390815709183705,-6.042983903414102,3.1974441535097975e-4,0.12088560573695611,FALSE
ENSRNOG00000020953,Ms4a7,1.7690765325982896,2.447961636076205,5.766542252338098,3.30072759923756e-4,0.12088560573695611,FALSE
ENSRNOG00000011647,S100a6,1.524472447460816,7.229176648290768,5.742459632414338,3.398118565978915e-4,0.12088560573695611,FALSE
ENSRNOG00000017645,Mylpf,2.6816473654222417,5.5839862615751805,5.898689237510816,3.4187327234254416e-4,0.12088560573695611,FALSE
ENSRNOG00000014378,Il1r2,1.8594300318533412,5.095415209348066,5.730706079435395,3.4467853899090004e-4,0.12088560573695611,FALSE
ENSRNOG00000046699,Slpi,2.341623994610572,6.260510420234194,5.724341810436848,3.473454305117965e-4,0.12088560573695611,FALSE
ENSRNOG00000058560,Col2a1,-2.073294518011348,7.313306788364958,-5.72027404945509,3.490617794836119e-4,0.12088560573695611,FALSE
ENSRNOG00000039110,Lsmem1,2.6179656870952455,0.8865304427458722,5.662354896314293,3.745307335931731e-4,0.12638011420733739,FALSE
