Geneid	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/188_F_CB2YGANXX_TTAGGC_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/179_F_CB2YGANXX_ATCACG_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/192_F_CB2YGANXX_ACAGTG_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/190_F_CB2YGANXX_TGACCA_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/187_F_CB2YGANXX_CGATGT_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/194_F_CB2YGANXX_GCCAAT_L001Aligned.sortedByCoord.out.bam
ENSRNOG00000018835	935	1629	2920	2964	2007	2343
ENSRNOG00000019044	24	14	18	17	8	11
ENSRNOG00000036422	2	1	2	0	0	1
ENSRNOG00000019046	3	0	2	2	0	0
ENSRNOG00000019120	13	5	6	6	10	12
ENSRNOG00000019328	53	169	332	232	234	265
ENSRNOG00000048181	0	0	0	0	0	0
ENSRNOG00000019417	1	2	0	0	0	0
ENSRNOG00000042884	5	4	7	2	0	0
ENSRNOG00000049090	0	0	0	0	0	0
ENSRNOG00000019470	3	0	2	0	0	0
ENSRNOG00000053190	0	0	1	3	0	0
ENSRNOG00000051856	1	1	0	2	0	1
ENSRNOG00000061362	0	0	0	0	0	0
ENSRNOG00000058255	0	1	0	0	0	0
ENSRNOG00000019508	27	64	57	68	61	100
ENSRNOG00000019565	54	58	54	67	106	103
ENSRNOG00000045536	0	0	0	0	0	0
ENSRNOG00000037196	31	15	18	12	1	2
ENSRNOG00000019441	0	0	0	0	0	0
ENSRNOG00000019670	163	255	337	281	471	580
ENSRNOG00000019754	242	374	243	490	645	700
ENSRNOG00000055403	3	1	4	1	0	0
ENSRNOG00000015222	509	1669	3110	4333	3132	6602
ENSRNOG00000015226	276	388	319	713	639	819
ENSRNOG00000061190	1	0	2	0	1	0
ENSRNOG00000054483	8	4	3	5	3	5
ENSRNOG00000057991	1	1	1	1	0	0
ENSRNOG00000015279	24	3	5	4	2	12
ENSRNOG00000015347	17	17	24	22	34	21
ENSRNOG00000057761	98	173	329	237	205	342
ENSRNOG00000037190	113	227	505	597	482	712
ENSRNOG00000015655	573	897	890	952	764	915
ENSRNOG00000015821	78	112	52	133	154	103
ENSRNOG00000023851	567	659	1058	1320	973	1355
ENSRNOG00000030019	1025	1390	1990	1862	2429	2730
ENSRNOG00000053048	3	0	3	2	0	2
ENSRNOG00000061513	4	4	4	4	0	0
ENSRNOG00000016044	24	38	14	14	25	12
ENSRNOG00000033051	61	77	74	80	82	97
ENSRNOG00000054375	5	2	5	3	1	0
ENSRNOG00000016243	107	97	94	25	169	135
ENSRNOG00000016477	69	132	103	136	124	183
ENSRNOG00000016571	14	11	9	15	16	15
ENSRNOG00000023338	909	1622	863	2053	2917	3099
ENSRNOG00000016793	2	0	0	1	0	0
ENSRNOG00000016835	5	2	3	3	1	0
ENSRNOG00000055783	0	0	0	0	0	0
ENSRNOG00000023073	2	0	0	0	0	0
ENSRNOG00000059241	0	0	2	0	0	0
ENSRNOG00000055947	9	6	5	1	8	1
ENSRNOG00000017502	72	130	192	229	304	347
ENSRNOG00000028529	1	0	3	0	3	3
ENSRNOG00000061058	1937	2284	944	3627	5658	5422
ENSRNOG00000023079	307	467	337	597	836	983
ENSRNOG00000018656	105	87	104	12	77	31
ENSRNOG00000058230	3	0	1	0	1	1
ENSRNOG00000018716	104	183	247	393	258	378
ENSRNOG00000018783	255	662	906	2471	2183	2452
ENSRNOG00000052852	0	1	1	1	0	0
ENSRNOG00000037159	0	0	3	0	0	0
ENSRNOG00000018946	396	634	361	1181	1436	1991
ENSRNOG00000058228	0	0	0	2	0	0
ENSRNOG00000061123	0	0	0	0	0	0
ENSRNOG00000019163	20	8	8	9	2	6
ENSRNOG00000060909	1	0	0	0	0	0
ENSRNOG00000019211	438	605	680	741	971	1031
ENSRNOG00000019333	1263	2477	3947	6267	4530	6909
ENSRNOG00000019367	153	279	446	702	449	776
ENSRNOG00000019455	137	270	439	329	323	509
ENSRNOG00000037149	1	1	0	0	0	3
ENSRNOG00000019614	217	383	416	622	671	805
ENSRNOG00000019671	498	620	547	913	1620	1967
ENSRNOG00000019785	196	290	212	619	576	785
ENSRNOG00000019885	248	392	402	633	741	1019
ENSRNOG00000058551	0	0	0	0	0	0
ENSRNOG00000051873	0	0	0	0	0	0
ENSRNOG00000055862	1	2	1	1	0	0
ENSRNOG00000057707	0	1	0	1	0	0
ENSRNOG00000031358	13	2	6	7	0	0
ENSRNOG00000019957	183	367	427	459	511	742
ENSRNOG00000056743	3	3	2	3	0	0
ENSRNOG00000019996	389	1028	1511	1867	2079	2570
ENSRNOG00000057151	0	0	0	0	0	0
ENSRNOG00000030253	5	8	12	15	3	4
ENSRNOG00000012481	15	11	9	13	5	5
ENSRNOG00000012630	398	500	364	276	566	438
ENSRNOG00000012946	135	214	231	199	173	112
ENSRNOG00000013538	1864	2584	1710	3713	5908	5672
ENSRNOG00000014002	149	184	112	238	343	358
ENSRNOG00000014385	8	8	7	7	4	9
ENSRNOG00000014479	518	565	246	779	723	861
ENSRNOG00000041322	0	0	0	0	0	0
ENSRNOG00000052078	14	4	8	13	0	0
ENSRNOG00000055255	0	0	0	0	0	0
ENSRNOG00000014686	55	26	32	35	45	47
ENSRNOG00000015274	120	187	227	330	317	500
ENSRNOG00000015691	29	24	29	23	33	47
ENSRNOG00000032463	764	1265	457	2135	3211	2870
ENSRNOG00000053044	23	40	23	28	59	82
ENSRNOG00000048272	0	0	0	0	0	0
ENSRNOG00000043375	0	0	0	0	0	0
ENSRNOG00000046624	0	0	0	0	0	0
ENSRNOG00000050743	0	0	0	0	0	0
ENSRNOG00000037118	0	0	0	0	0	0
ENSRNOG00000016000	0	0	0	0	0	0
ENSRNOG00000046022	0	0	0	0	0	0
ENSRNOG00000016394	0	0	0	0	0	0
ENSRNOG00000049591	0	0	0	0	0	0
ENSRNOG00000015788	0	0	0	0	0	0
ENSRNOG00000051203	0	0	0	0	1	0
ENSRNOG00000046299	1	0	0	1	0	0
ENSRNOG00000051107	1	0	1	0	0	0
ENSRNOG00000016842	1	1	3	1	0	0
ENSRNOG00000051068	3	1	3	0	0	0
ENSRNOG00000017695	9	6	1	3	17	11
ENSRNOG00000033162	7	1	3	2	0	0
ENSRNOG00000037115	8	1	0	1	0	0
ENSRNOG00000017574	1	0	5	2	0	0
ENSRNOG00000017680	58	97	87	224	231	230
ENSRNOG00000017723	398	446	161	719	1585	1135
ENSRNOG00000017744	234	229	122	414	766	568
ENSRNOG00000052798	0	0	0	0	0	0
ENSRNOG00000017784	238	297	125	497	793	944
ENSRNOG00000017874	2860	3038	1660	5295	5976	5501
ENSRNOG00000018112	3	1	0	0	0	0
ENSRNOG00000055404	18	34	6	91	86	82
ENSRNOG00000062002	46	103	114	135	93	113
ENSRNOG00000056335	3	1	2	0	0	0
ENSRNOG00000018285	80	51	89	172	143	129
ENSRNOG00000050416	2	2	1	0	0	0
ENSRNOG00000018236	12	4	9	4	10	6
ENSRNOG00000018201	1	0	2	0	0	0
ENSRNOG00000051467	0	1	0	0	0	0
ENSRNOG00000018186	241	305	225	444	425	410
ENSRNOG00000018131	44	25	25	28	106	116
ENSRNOG00000047499	453	721	1384	906	1063	1554
ENSRNOG00000050514	3	0	0	1	0	0
ENSRNOG00000056165	2	0	0	0	0	0
ENSRNOG00000060988	7	4	9	1	1	3
ENSRNOG00000050090	40	23	38	15	27	27
ENSRNOG00000056341	4	3	0	0	0	0
ENSRNOG00000018290	8	3	2	3	0	1
ENSRNOG00000018293	188	319	533	342	378	453
ENSRNOG00000018569	766	1117	699	1451	1962	2017
ENSRNOG00000018659	296	312	341	509	390	427
ENSRNOG00000048209	0	0	0	0	0	0
ENSRNOG00000049743	173	163	146	152	277	249
ENSRNOG00000060939	6	3	3	4	0	0
ENSRNOG00000018937	85	107	136	117	129	163
ENSRNOG00000019017	17	8	10	4	4	11
ENSRNOG00000047108	2	1	6	0	0	0
ENSRNOG00000019058	8	5	5	2	0	0
ENSRNOG00000029726	54	135	219	228	136	319
ENSRNOG00000058113	0	0	0	0	0	0
ENSRNOG00000019221	61	80	138	79	111	116
ENSRNOG00000054318	1	0	0	0	0	0
ENSRNOG00000019240	48	71	175	127	65	116
ENSRNOG00000019296	7	1	1	1	1	1
ENSRNOG00000019465	1446	1913	1511	2394	3618	4068
ENSRNOG00000054477	5	3	0	2	0	1
ENSRNOG00000019738	9	1	9	4	0	0
ENSRNOG00000045665	47	53	95	67	53	72
ENSRNOG00000052232	17	37	62	60	62	63
ENSRNOG00000028749	12	20	56	24	4	22
ENSRNOG00000019780	19	12	25	1	14	1
ENSRNOG00000019868	445	701	559	829	1757	1280
ENSRNOG00000031814	463	885	991	1716	1391	1570
ENSRNOG00000037082	2	6	2	6	0	0
ENSRNOG00000020013	20	16	48	43	27	42
ENSRNOG00000020058	33	22	65	46	17	25
ENSRNOG00000020255	438	722	1031	946	667	1109
ENSRNOG00000058966	0	0	0	0	0	0
ENSRNOG00000020272	16	9	19	23	12	21
ENSRNOG00000054887	0	0	0	0	0	0
ENSRNOG00000020307	10	2	2	3	1	1
ENSRNOG00000034161	44	74	95	120	120	103
ENSRNOG00000051850	279	710	1606	557	1064	825
ENSRNOG00000042160	34	40	19	120	88	140
ENSRNOG00000020315	296	417	380	671	461	654
ENSRNOG00000020330	67	120	126	161	255	325
ENSRNOG00000020360	373	416	393	434	936	1062
ENSRNOG00000012149	203	328	574	572	614	866
ENSRNOG00000028025	16	24	15	30	11	52
ENSRNOG00000020392	356	562	494	691	790	1121
ENSRNOG00000057001	0	0	0	1	0	1
ENSRNOG00000020421	17	9	15	13	8	6
ENSRNOG00000050085	1	1	0	0	0	0
ENSRNOG00000020438	280	509	563	617	891	1144
ENSRNOG00000042814	8	0	5	14	1	3
ENSRNOG00000027540	49	60	33	105	71	128
ENSRNOG00000027522	7	4	7	3	0	1
ENSRNOG00000020470	399	583	445	721	1062	1086
ENSRNOG00000020485	373	773	769	1115	1198	1586
ENSRNOG00000030847	9	27	26	13	22	31
ENSRNOG00000031136	21	12	16	39	21	44
ENSRNOG00000017187	0	0	0	0	0	2
ENSRNOG00000055584	0	0	0	0	0	0
ENSRNOG00000060776	0	0	0	0	0	0
ENSRNOG00000057864	0	0	0	0	0	0
ENSRNOG00000048996	0	0	0	0	0	0
ENSRNOG00000053027	0	0	0	0	0	0
ENSRNOG00000052614	4	4	3	1	0	0
ENSRNOG00000051368	0	0	1	0	0	0
ENSRNOG00000053571	2	0	0	0	0	0
ENSRNOG00000052881	0	0	0	0	0	0
ENSRNOG00000057573	2	0	0	0	0	0
ENSRNOG00000055613	3	1	5	3	0	0
ENSRNOG00000033529	2	2	0	2	3	1
ENSRNOG00000017310	125	215	182	272	414	536
ENSRNOG00000023148	8381	6542	10352	9726	16065	22944
ENSRNOG00000059407	0	0	1	0	0	0
ENSRNOG00000061534	0	0	0	0	0	0
ENSRNOG00000017969	4	1	4	1	0	0
ENSRNOG00000058770	1	0	1	0	0	0
ENSRNOG00000013683	201	212	250	339	413	431
ENSRNOG00000013719	51	71	58	87	131	132
ENSRNOG00000013912	274	398	380	405	538	744
ENSRNOG00000048240	0	0	0	0	0	0
ENSRNOG00000014323	78	105	88	86	163	191
ENSRNOG00000052101	0	1	0	0	0	0
ENSRNOG00000014333	777	1571	1533	3474	3427	4359
ENSRNOG00000026953	48	83	160	245	127	199
ENSRNOG00000014515	195	393	361	665	653	1016
ENSRNOG00000056917	0	0	0	0	0	0
ENSRNOG00000014575	134	183	197	191	162	308
ENSRNOG00000015029	205	286	210	437	515	543
ENSRNOG00000015117	25	11	23	11	50	13
ENSRNOG00000015140	87	125	137	231	272	324
ENSRNOG00000015211	51	99	88	120	184	223
ENSRNOG00000015502	4	12	76	19	9	32
ENSRNOG00000061832	219	293	307	367	609	582
ENSRNOG00000016214	324	504	388	586	770	900
ENSRNOG00000016878	1	3	2	1	2	4
ENSRNOG00000016872	11	3	10	5	1	2
ENSRNOG00000016351	301	398	484	740	618	1009
ENSRNOG00000058609	131	199	110	104	217	237
ENSRNOG00000060159	1	0	1	1	0	0
ENSRNOG00000055846	7	3	1	0	0	1
ENSRNOG00000017077	207	248	215	242	543	571
ENSRNOG00000054507	0	0	2	1	0	0
ENSRNOG00000060752	0	0	1	0	0	0
ENSRNOG00000056395	0	0	0	0	0	0
ENSRNOG00000035491	0	0	3	0	0	0
ENSRNOG00000048332	0	0	0	0	0	0
ENSRNOG00000061165	1	0	1	0	0	0
ENSRNOG00000056936	1	2	0	0	0	0
ENSRNOG00000017105	23	8	17	22	14	20
ENSRNOG00000053591	2	0	0	0	0	1
ENSRNOG00000023365	4	2	4	2	0	3
ENSRNOG00000049260	0	0	0	0	0	0
ENSRNOG00000030575	3	5	2	10	12	9
ENSRNOG00000053956	0	0	0	0	0	1
ENSRNOG00000058307	0	0	0	0	0	1
ENSRNOG00000010827	253	343	364	408	944	1079
ENSRNOG00000056315	7	2	1	1	0	0
ENSRNOG00000051918	1	0	0	0	0	0
ENSRNOG00000051673	1	0	0	1	0	1
ENSRNOG00000056951	2	1	2	1	0	0
ENSRNOG00000060318	1	0	2	1	0	0
ENSRNOG00000029893	27	47	43	65	68	97
ENSRNOG00000053852	2	0	0	0	0	0
ENSRNOG00000025160	86	220	330	483	341	489
ENSRNOG00000011528	150	205	279	376	303	389
ENSRNOG00000053525	2	1	0	5	4	4
ENSRNOG00000011559	539	675	738	785	1061	1654
ENSRNOG00000058371	1	0	0	1	0	0
ENSRNOG00000011723	11	7	11	14	10	20
ENSRNOG00000051378	1	0	0	0	0	0
ENSRNOG00000052653	0	2	4	1	0	0
ENSRNOG00000051962	1	1	1	0	0	0
ENSRNOG00000011800	263	159	28	45	222	120
ENSRNOG00000011929	285	395	479	446	763	873
ENSRNOG00000012563	642	747	387	830	1476	1810
ENSRNOG00000012892	30	23	75	49	28	59
ENSRNOG00000060844	2	0	0	0	0	0
ENSRNOG00000013409	138	293	397	1526	993	1480
ENSRNOG00000025025	535	768	550	877	2050	1853
ENSRNOG00000040385	0	0	0	1	1	2
ENSRNOG00000060865	1	0	0	1	0	0
ENSRNOG00000013737	184	212	538	526	412	612
ENSRNOG00000013798	467	512	287	555	1070	1210
ENSRNOG00000030491	0	0	1	1	0	0
ENSRNOG00000014443	296	821	566	1427	1219	1383
ENSRNOG00000024947	1	0	1	0	0	0
ENSRNOG00000014654	191	254	339	426	321	431
ENSRNOG00000014660	186	224	230	428	685	1185
ENSRNOG00000058153	5	2	6	2	7	18
ENSRNOG00000014815	30	22	83	7	58	61
ENSRNOG00000014867	25	27	64	18	26	23
ENSRNOG00000014872	471	605	568	610	829	1002
ENSRNOG00000015250	135	242	205	275	317	522
ENSRNOG00000057704	3	0	0	0	0	0
ENSRNOG00000015353	16	10	6	10	6	5
ENSRNOG00000053898	12	22	9	36	77	26
ENSRNOG00000015781	11	11	13	10	10	13
ENSRNOG00000009835	12	11	8	10	13	21
ENSRNOG00000024928	4	1	1	1	0	1
ENSRNOG00000060127	1	0	0	0	0	0
ENSRNOG00000009577	10	0	4	0	0	0
ENSRNOG00000009345	153	357	169	326	634	601
ENSRNOG00000055345	0	0	0	0	0	0
ENSRNOG00000009508	0	0	0	0	0	0
ENSRNOG00000009433	48	43	49	67	106	85
ENSRNOG00000049473	1	0	1	0	0	0
ENSRNOG00000023373	195	230	344	505	334	499
ENSRNOG00000061460	7	2	5	3	1	0
ENSRNOG00000053168	28	15	40	17	16	34
ENSRNOG00000000001	14	9	3	7	7	13
ENSRNOG00000011589	720	699	874	1223	1632	2385
ENSRNOG00000011076	146	201	346	279	325	643
ENSRNOG00000051388	0	0	0	0	0	0
ENSRNOG00000048989	234	396	444	505	671	816
ENSRNOG00000048974	0	0	0	0	0	0
ENSRNOG00000050314	0	0	0	0	0	0
ENSRNOG00000048336	0	0	0	0	0	0
ENSRNOG00000036980	137	201	216	414	629	750
ENSRNOG00000053387	7	23	17	38	35	54
ENSRNOG00000010972	0	0	0	1	0	0
ENSRNOG00000022636	205	311	225	391	387	403
ENSRNOG00000010941	208	374	697	913	928	1331
ENSRNOG00000024492	79	106	86	205	165	227
ENSRNOG00000010875	33	45	36	65	76	82
ENSRNOG00000055038	6	0	4	1	0	0
ENSRNOG00000055380	8	2	7	4	0	0
ENSRNOG00000060298	0	0	0	0	0	0
ENSRNOG00000054971	3	2	1	1	0	0
ENSRNOG00000051979	0	0	0	0	0	0
ENSRNOG00000010681	15	3	8	3	0	0
ENSRNOG00000051854	263	307	467	454	852	905
ENSRNOG00000048459	0	0	0	0	0	0
ENSRNOG00000010468	0	0	0	0	0	0
ENSRNOG00000048400	0	0	0	0	0	0
ENSRNOG00000048949	0	0	0	0	0	0
ENSRNOG00000058246	0	0	0	0	0	0
ENSRNOG00000054881	3	0	0	0	0	0
ENSRNOG00000062305	5	0	0	1	0	0
ENSRNOG00000051964	0	0	2	1	1	3
ENSRNOG00000061097	11	2	2	2	0	0
ENSRNOG00000053349	4	0	6	1	0	5
ENSRNOG00000061146	30	41	44	125	70	109
ENSRNOG00000053400	67	313	8	4	47	7
ENSRNOG00000057470	31	32	67	68	35	60
ENSRNOG00000052613	0	0	0	0	0	0
ENSRNOG00000050706	43	33	62	21	39	50
ENSRNOG00000045743	31	10	11	6	14	4
ENSRNOG00000023322	2523	2369	2334	2567	3775	3718
ENSRNOG00000016387	815	1488	1078	3740	3307	2840
ENSRNOG00000047992	7	4	4	5	2	4
ENSRNOG00000055227	0	0	0	3	0	0
ENSRNOG00000052248	1	0	0	0	0	0
ENSRNOG00000059757	19	2	12	2	0	13
ENSRNOG00000055035	0	0	2	0	0	0
ENSRNOG00000010121	21	35	136	166	49	144
ENSRNOG00000010697	81	115	125	141	170	199
ENSRNOG00000011053	48	72	135	169	88	159
ENSRNOG00000011284	586	649	488	1280	1284	1957
ENSRNOG00000011311	246	588	919	998	815	1240
ENSRNOG00000056342	8	9	5	6	11	6
ENSRNOG00000050075	4	2	2	1	1	0
ENSRNOG00000011360	16	8	19	12	10	15
ENSRNOG00000059205	0	0	2	0	0	0
ENSRNOG00000061584	1	2	0	0	0	0
ENSRNOG00000057730	1	0	0	0	0	0
ENSRNOG00000042721	2	1	1	1	0	0
ENSRNOG00000011384	292	409	536	564	776	821
ENSRNOG00000011454	175	269	270	464	428	705
ENSRNOG00000058729	1	0	0	0	0	0
ENSRNOG00000054662	1	0	0	0	0	0
ENSRNOG00000052873	30	37	83	72	41	78
ENSRNOG00000011669	28	31	61	76	116	110
ENSRNOG00000011844	163	285	246	385	467	637
ENSRNOG00000023965	6	3	6	3	0	0
ENSRNOG00000036958	3	2	2	0	0	0
ENSRNOG00000012091	89	124	171	208	262	270
ENSRNOG00000046675	1	0	0	0	0	0
ENSRNOG00000023579	493	645	582	1139	950	1728
ENSRNOG00000055084	0	0	0	0	0	0
ENSRNOG00000055177	0	0	0	0	0	0
ENSRNOG00000059314	6	2	0	2	0	0
ENSRNOG00000041898	0	0	0	0	0	0
ENSRNOG00000045764	20	21	28	144	78	89
ENSRNOG00000041792	0	0	1	0	1	1
ENSRNOG00000057646	2	0	0	0	0	0
ENSRNOG00000009372	7	2	2	2	1	1
ENSRNOG00000009339	1198	2557	1956	2603	5584	7021
ENSRNOG00000014490	66	80	61	93	119	124
ENSRNOG00000023404	142	162	207	268	300	291
ENSRNOG00000042985	13	9	6	6	15	17
ENSRNOG00000055839	0	0	0	0	0	0
ENSRNOG00000048258	341	425	285	628	558	797
ENSRNOG00000013741	1913	2427	1475	6014	6086	6249
ENSRNOG00000052247	278	349	276	476	388	507
ENSRNOG00000052040	12	15	15	18	13	13
ENSRNOG00000023258	386	470	722	1031	694	1083
ENSRNOG00000059004	0	0	0	0	0	0
ENSRNOG00000012508	286	312	291	752	833	1094
ENSRNOG00000032247	46	78	152	215	233	428
ENSRNOG00000009882	672	1031	868	1365	1381	2016
ENSRNOG00000036421	3	0	2	1	0	0
ENSRNOG00000022910	187	235	147	682	842	870
ENSRNOG00000033088	4	3	2	0	1	0
ENSRNOG00000010047	21	15	39	17	30	41
ENSRNOG00000060107	84	155	161	276	241	344
ENSRNOG00000010306	458	1018	910	1306	2302	1649
ENSRNOG00000010552	176	277	248	458	491	514
ENSRNOG00000010575	132	364	253	725	685	730
ENSRNOG00000054761	13	4	8	3	0	0
ENSRNOG00000010655	27	24	16	38	36	41
ENSRNOG00000011025	115	202	218	310	350	535
ENSRNOG00000024623	6	1	2	4	0	0
ENSRNOG00000032959	7	3	10	4	4	1
ENSRNOG00000012436	16	3	0	5	4	6
ENSRNOG00000012281	6	1	9	6	6	3
ENSRNOG00000060908	0	0	0	0	0	0
ENSRNOG00000046357	247	353	391	408	675	625
ENSRNOG00000012947	270	391	356	610	757	819
ENSRNOG00000053373	2	2	1	0	0	1
ENSRNOG00000043562	1	1	0	0	1	0
ENSRNOG00000052343	527	736	581	1574	2189	2135
ENSRNOG00000061086	3	3	1	2	6	7
ENSRNOG00000051702	2	1	1	1	2	2
ENSRNOG00000015913	51	94	146	326	191	209
ENSRNOG00000015987	283	418	371	522	589	791
ENSRNOG00000023457	4	2	4	2	1	0
ENSRNOG00000056490	16	10	16	6	1	3
ENSRNOG00000060968	11	8	8	13	8	4
ENSRNOG00000051598	0	2	1	1	0	0
ENSRNOG00000053823	0	1	1	1	1	0
ENSRNOG00000036420	0	0	0	1	0	0
ENSRNOG00000060967	4	2	0	2	0	0
ENSRNOG00000016223	5	1	2	0	0	0
ENSRNOG00000029071	125	96	96	217	238	370
ENSRNOG00000016289	6	9	8	5	10	8
ENSRNOG00000016419	339	399	390	420	511	772
ENSRNOG00000055914	21	4	0	0	0	0
ENSRNOG00000032240	70	150	106	241	302	365
ENSRNOG00000029191	103	191	281	217	325	420
ENSRNOG00000028768	37	52	24	55	68	59
ENSRNOG00000031743	395	594	293	509	889	713
ENSRNOG00000023943	17	16	8	3	11	2
ENSRNOG00000036885	5	5	9	2	1	2
ENSRNOG00000060609	1	1	0	0	0	0
ENSRNOG00000059088	5	0	3	1	0	0
ENSRNOG00000061151	0	0	0	0	0	0
ENSRNOG00000043426	31	20	19	20	46	39
ENSRNOG00000011135	311	436	346	527	822	863
ENSRNOG00000054062	1	0	0	0	0	0
ENSRNOG00000011317	628	900	721	1828	2299	2999
ENSRNOG00000058016	1	2	1	0	0	1
ENSRNOG00000053087	0	2	2	1	0	0
ENSRNOG00000057293	1	0	2	0	0	2
ENSRNOG00000009205	187	308	267	1330	586	1276
ENSRNOG00000055290	0	0	0	0	4	0
ENSRNOG00000059575	2	2	4	1	0	0
ENSRNOG00000054579	4	1	0	0	0	0
ENSRNOG00000012549	307	343	453	504	537	672
ENSRNOG00000055257	2318	2411	1707	3999	5335	5023
ENSRNOG00000012957	913	1059	724	3162	3136	3132
ENSRNOG00000013334	33	90	63	207	228	258
ENSRNOG00000036877	6	2	5	3	0	0
ENSRNOG00000029889	5	5	8	4	7	6
ENSRNOG00000060831	12	3	4	7	0	0
ENSRNOG00000013771	17	12	10	15	14	14
ENSRNOG00000058534	0	0	2	0	0	0
ENSRNOG00000014059	79	121	168	226	276	400
ENSRNOG00000052331	0	0	0	0	0	0
ENSRNOG00000014143	211	154	312	298	270	519
ENSRNOG00000030049	64	120	132	79	108	147
ENSRNOG00000060828	3	0	0	2	1	1
ENSRNOG00000014350	304	538	464	526	705	696
ENSRNOG00000058696	3	0	0	0	1	0
ENSRNOG00000057834	19	17	18	14	16	16
ENSRNOG00000014613	127	223	147	200	163	315
ENSRNOG00000042389	154	270	251	456	346	427
ENSRNOG00000014857	74	107	131	173	140	197
ENSRNOG00000052749	4	10	2	15	3	2
ENSRNOG00000026186	23	39	80	48	30	57
ENSRNOG00000014893	20	7	15	7	9	12
ENSRNOG00000059208	0	0	0	0	0	0
ENSRNOG00000015024	150	109	75	135	249	236
ENSRNOG00000015089	36	30	31	46	27	58
ENSRNOG00000015260	27	18	44	81	36	99
ENSRNOG00000052662	0	0	0	0	0	0
ENSRNOG00000015425	141	315	717	734	624	990
ENSRNOG00000015573	297	340	201	468	882	804
ENSRNOG00000015678	28	30	12	51	49	76
ENSRNOG00000015936	86	125	145	75	219	141
ENSRNOG00000015969	261	399	239	598	463	835
ENSRNOG00000016262	78	112	65	174	228	213
ENSRNOG00000016339	10	2	3	2	1	1
ENSRNOG00000016432	21	25	30	41	42	44
ENSRNOG00000004978	210	374	297	338	474	596
ENSRNOG00000031997	57	78	70	122	152	236
ENSRNOG00000054185	1	1	0	0	0	0
ENSRNOG00000044645	0	0	0	0	0	0
ENSRNOG00000057103	3	1	2	0	0	0
ENSRNOG00000055985	0	0	0	0	0	0
ENSRNOG00000051456	0	0	0	0	0	0
ENSRNOG00000052422	2	0	1	0	0	0
ENSRNOG00000059921	7	8	2	3	1	0
ENSRNOG00000051582	5	3	1	0	0	0
ENSRNOG00000062173	2	3	0	0	0	0
ENSRNOG00000053050	1	0	0	0	0	0
ENSRNOG00000052596	4	0	2	0	0	0
ENSRNOG00000062118	6	2	4	2	0	0
ENSRNOG00000057395	0	0	0	0	0	1
ENSRNOG00000055668	0	1	0	0	0	0
ENSRNOG00000061178	2	0	0	1	0	0
ENSRNOG00000060722	2	0	1	0	0	0
ENSRNOG00000053817	0	1	0	0	0	0
ENSRNOG00000048082	1	0	6	1	0	1
ENSRNOG00000061028	0	0	1	0	0	0
ENSRNOG00000033940	380	522	150	416	1016	1111
ENSRNOG00000055552	0	0	0	0	0	0
ENSRNOG00000022218	121	143	74	234	402	271
ENSRNOG00000049994	29	53	26	85	161	157
ENSRNOG00000046468	422	462	276	350	1055	991
ENSRNOG00000054661	0	0	0	0	0	0
ENSRNOG00000042152	27	22	19	21	50	33
ENSRNOG00000030563	1	0	1	1	1	2
ENSRNOG00000050050	0	0	0	0	0	0
ENSRNOG00000013011	215	362	228	365	420	594
ENSRNOG00000043370	613	1143	760	1747	2518	3541
ENSRNOG00000012512	182	120	49	43	207	184
ENSRNOG00000058222	0	1	4	0	0	1
ENSRNOG00000056332	28	40	55	38	49	70
ENSRNOG00000011294	639	971	600	1436	2435	2914
ENSRNOG00000050321	612	931	1049	1093	1807	2262
ENSRNOG00000046947	87	96	120	140	158	199
ENSRNOG00000042359	366	509	281	620	898	910
ENSRNOG00000049676	4	3	6	2	0	2
ENSRNOG00000059248	3	2	0	0	0	0
ENSRNOG00000032660	128	195	180	240	212	394
ENSRNOG00000060973	4	1	5	1	0	0
ENSRNOG00000056894	30	49	51	143	98	170
ENSRNOG00000013200	1	1	1	6	7	6
ENSRNOG00000054283	1	0	0	0	0	0
ENSRNOG00000058700	0	0	0	1	0	0
ENSRNOG00000051329	2	3	3	0	0	0
ENSRNOG00000053556	3	0	0	0	0	0
ENSRNOG00000048832	3	2	0	1	1	0
ENSRNOG00000010431	8	0	4	3	1	2
ENSRNOG00000061866	1	0	0	0	0	0
ENSRNOG00000009992	465	645	539	873	1366	1264
ENSRNOG00000060388	14	6	16	23	13	31
ENSRNOG00000053795	35	54	73	68	56	53
ENSRNOG00000056420	15	24	49	33	25	42
ENSRNOG00000009845	246	413	509	499	695	773
ENSRNOG00000056880	0	0	2	0	0	0
ENSRNOG00000042332	21	11	16	7	5	18
ENSRNOG00000028348	6	0	0	2	4	1
ENSRNOG00000054598	2	0	0	0	0	0
ENSRNOG00000028328	33	43	66	73	86	111
ENSRNOG00000028319	29	30	64	44	35	75
ENSRNOG00000009533	6	5	8	6	2	9
